H,P,User1,User2,User3,User4,User5,User6,User7,User8,User9,User10
H_72.h5,P_72.h5,0,1,0,1,1,1,0,0,0,0
H_73.h5,P_73.h5,0,0,0,1,1,0,1,0,0,1
H_74.h5,P_74.h5,0,0,1,0,1,0,1,0,1,0
H_75.h5,P_75.h5,0,0,1,0,0,1,1,0,1,0
H_76.h5,P_76.h5,1,0,0,1,0,0,1,1,0,0
H_77.h5,P_77.h5,0,0,1,0,1,0,1,0,1,0
H_78.h5,P_78.h5,0,0,0,0,0,1,0,1,1,0
H_79.h5,P_79.h5,1,1,0,0,0,0,1,1,0,0
H_80.h5,P_80.h5,0,0,0,0,0,1,1,1,0,1
H_81.h5,P_81.h5,1,0,0,1,1,0,0,0,1,0
H_82.h5,P_82.h5,0,1,0,1,0,0,0,0,1,1
H_83.h5,P_83.h5,1,0,1,1,0,0,0,0,0,0
H_84.h5,P_84.h5,0,1,1,1,0,0,0,0,1,0
H_85.h5,P_85.h5,1,0,1,0,0,1,0,0,1,0
H_86.h5,P_86.h5,0,1,0,1,0,0,1,0,0,1
H_87.h5,P_87.h5,0,1,0,0,0,1,0,1,0,1
H_88.h5,P_88.h5,1,0,1,0,1,0,0,0,0,1
H_89.h5,P_89.h5,0,1,0,1,0,0,0,1,0,0
H_90.h5,P_90.h5,1,0,0,0,0,1,0,0,1,1
H_91.h5,P_91.h5,1,0,1,0,0,0,1,0,0,1
H_92.h5,P_92.h5,0,0,1,0,1,1,0,1,0,0
H_93.h5,P_93.h5,1,0,1,1,1,0,0,0,0,0
H_94.h5,P_94.h5,1,1,1,0,0,0,1,0,0,0
H_95.h5,P_95.h5,0,1,0,1,0,1,0,0,1,0
H_96.h5,P_96.h5,1,0,0,1,0,1,1,0,0,0
H_97.h5,P_97.h5,0,0,0,1,0,0,1,1,0,1
H_98.h5,P_98.h5,1,0,1,0,0,1,1,0,0,0
H_99.h5,P_99.h5,1,0,0,1,1,0,0,0,0,1
H_100.h5,P_100.h5,0,1,0,0,0,1,1,1,0,0
H_101.h5,P_101.h5,1,1,0,0,0,0,0,0,1,1
H_102.h5,P_102.h5,0,0,1,1,1,0,0,0,1,0
H_103.h5,P_103.h5,0,0,1,0,1,0,0,0,1,0
H_104.h5,P_104.h5,0,1,0,1,0,1,0,0,0,0
H_105.h5,P_105.h5,1,0,0,1,1,1,0,0,0,0
H_106.h5,P_106.h5,0,1,0,0,1,0,0,0,0,1
H_107.h5,P_107.h5,1,0,0,1,0,0,1,0,0,1
H_108.h5,P_108.h5,0,0,0,0,0,0,0,0,1,1
H_109.h5,P_109.h5,1,0,0,0,1,1,0,0,0,0
H_110.h5,P_110.h5,0,0,0,1,0,1,1,0,0,1
H_111.h5,P_111.h5,0,0,0,0,1,0,1,1,0,0
H_112.h5,P_112.h5,0,0,1,0,1,0,1,0,0,0
H_113.h5,P_113.h5,0,1,1,0,0,1,0,0,1,0
H_114.h5,P_114.h5,0,1,0,0,0,0,1,1,1,0
H_115.h5,P_115.h5,1,0,0,0,1,0,0,1,1,0
H_116.h5,P_116.h5,1,0,0,0,0,1,1,0,1,0
H_117.h5,P_117.h5,1,1,1,0,0,0,0,1,0,0
H_118.h5,P_118.h5,0,0,1,0,1,0,1,0,0,1
H_119.h5,P_119.h5,1,1,0,0,0,0,1,0,0,1
H_120.h5,P_120.h5,1,0,0,0,1,0,0,1,0,1
H_121.h5,P_121.h5,1,0,1,0,0,1,0,0,0,1
H_122.h5,P_122.h5,0,1,0,0,0,0,1,0,1,1
H_123.h5,P_123.h5,1,1,0,0,0,0,0,1,1,0
H_124.h5,P_124.h5,1,0,0,0,0,0,1,0,0,1
H_125.h5,P_125.h5,0,0,0,0,0,1,0,1,1,1
H_126.h5,P_126.h5,0,0,0,0,1,1,1,0,0,1
H_127.h5,P_127.h5,1,1,1,1,0,0,0,0,0,0
H_128.h5,P_128.h5,0,1,0,0,1,0,1,1,0,0
H_129.h5,P_129.h5,0,1,0,0,1,1,0,0,1,0
H_130.h5,P_130.h5,0,0,1,1,1,0,1,0,0,0
H_131.h5,P_131.h5,0,0,1,1,1,0,0,0,0,1
H_132.h5,P_132.h5,1,0,1,0,0,0,0,0,1,1
H_133.h5,P_133.h5,0,0,1,0,0,0,0,1,1,0
H_134.h5,P_134.h5,1,1,0,0,1,0,0,0,0,1
H_135.h5,P_135.h5,1,0,0,1,0,0,0,0,1,1
H_136.h5,P_136.h5,0,0,0,1,1,1,0,0,1,0
H_137.h5,P_137.h5,0,1,1,1,0,0,0,0,0,0
H_138.h5,P_138.h5,1,1,1,0,0,0,0,1,0,0
H_139.h5,P_139.h5,1,1,0,0,0,1,0,0,1,0
H_140.h5,P_140.h5,0,0,1,1,0,1,0,0,0,1
H_141.h5,P_141.h5,1,0,0,1,0,0,1,0,0,1
H_142.h5,P_142.h5,0,1,0,1,0,1,0,0,1,0
H_143.h5,P_143.h5,1,1,0,1,0,0,0,1,0,0
H_144.h5,P_144.h5,1,0,1,0,0,0,1,1,0,0
H_145.h5,P_145.h5,1,0,0,0,1,1,0,0,1,0
H_146.h5,P_146.h5,0,1,0,0,0,0,1,1,0,0
H_147.h5,P_147.h5,1,0,1,0,1,0,0,0,1,0
H_148.h5,P_148.h5,0,0,1,0,1,0,1,0,0,0
H_149.h5,P_149.h5,0,0,0,0,0,1,1,1,1,0
H_150.h5,P_150.h5,0,0,0,1,1,0,0,1,0,0
H_151.h5,P_151.h5,0,0,0,0,0,1,0,1,0,1
H_152.h5,P_152.h5,0,0,1,0,0,0,1,1,0,0
H_153.h5,P_153.h5,0,0,1,1,1,0,0,0,1,0
H_154.h5,P_154.h5,0,1,0,0,0,1,0,1,1,0
H_155.h5,P_155.h5,0,0,0,1,1,0,0,1,0,1
H_156.h5,P_156.h5,1,0,0,1,0,1,0,0,0,0
H_157.h5,P_157.h5,1,0,0,1,0,0,0,0,1,1
H_158.h5,P_158.h5,0,0,0,1,1,0,0,1,1,0
H_159.h5,P_159.h5,0,1,0,1,1,1,0,0,0,0
H_160.h5,P_160.h5,1,0,0,0,0,0,1,1,0,1
H_161.h5,P_161.h5,1,0,0,0,0,1,1,0,0,1
H_162.h5,P_162.h5,1,0,1,0,0,0,1,1,0,0
H_163.h5,P_163.h5,1,0,0,0,0,1,1,0,1,0
H_164.h5,P_164.h5,0,1,1,0,0,0,0,1,0,1
H_165.h5,P_165.h5,1,0,0,0,1,0,0,1,1,0
H_166.h5,P_166.h5,0,1,0,1,0,0,0,1,0,0
H_167.h5,P_167.h5,0,1,1,0,1,0,0,0,0,1
H_168.h5,P_168.h5,1,0,0,1,0,0,1,0,0,0
H_169.h5,P_169.h5,0,0,1,0,1,0,1,0,0,1
H_170.h5,P_170.h5,0,0,0,1,1,1,0,0,0,1
H_171.h5,P_171.h5,0,1,1,0,1,0,0,0,0,1
H_172.h5,P_172.h5,1,0,0,1,0,0,1,0,1,0
H_173.h5,P_173.h5,0,1,1,0,0,1,1,0,0,0
H_174.h5,P_174.h5,1,0,0,1,0,0,0,0,1,0
H_175.h5,P_175.h5,0,0,0,1,0,0,1,1,0,1
H_176.h5,P_176.h5,0,1,1,0,0,0,1,0,1,0
H_177.h5,P_177.h5,0,0,1,0,0,0,1,1,0,0
H_178.h5,P_178.h5,0,0,1,0,1,1,0,0,1,0
H_179.h5,P_179.h5,0,1,0,0,0,1,1,0,1,0
H_180.h5,P_180.h5,0,0,0,0,1,1,0,0,1,1
H_181.h5,P_181.h5,0,0,1,0,0,0,0,1,1,1
H_182.h5,P_182.h5,1,1,0,0,0,0,0,0,0,1
H_183.h5,P_183.h5,0,1,0,1,0,1,0,0,0,1
H_184.h5,P_184.h5,1,0,0,0,1,0,1,0,0,1
H_185.h5,P_185.h5,0,0,0,0,1,1,1,0,0,1
H_186.h5,P_186.h5,1,0,0,1,0,0,0,0,1,0
H_187.h5,P_187.h5,0,0,0,0,1,0,1,0,1,1
H_188.h5,P_188.h5,1,1,1,0,0,0,0,0,0,0
H_189.h5,P_189.h5,0,0,0,1,1,1,0,0,0,1
H_190.h5,P_190.h5,0,0,1,0,1,1,1,0,0,0
H_191.h5,P_191.h5,0,0,0,0,1,1,1,1,0,0
H_192.h5,P_192.h5,1,0,0,1,0,0,0,1,1,0
H_193.h5,P_193.h5,0,0,1,1,0,0,1,0,0,1
H_194.h5,P_194.h5,1,0,1,1,0,0,0,0,1,0
H_195.h5,P_195.h5,1,1,0,1,0,0,0,0,0,0
H_196.h5,P_196.h5,0,1,1,0,0,1,0,0,1,0
H_197.h5,P_197.h5,0,1,0,1,1,0,0,0,0,0
H_198.h5,P_198.h5,1,0,1,0,0,0,1,0,0,1
H_199.h5,P_199.h5,0,0,0,0,1,1,1,0,1,0
H_200.h5,P_200.h5,0,0,0,1,0,1,0,1,1,0
H_201.h5,P_201.h5,0,1,0,1,0,0,0,0,1,1
H_202.h5,P_202.h5,0,1,0,1,0,0,1,0,1,0
H_203.h5,P_203.h5,0,1,0,1,1,0,0,1,0,0
H_204.h5,P_204.h5,0,0,0,1,0,1,0,1,0,0
H_205.h5,P_205.h5,1,0,1,0,0,0,1,0,0,0
H_206.h5,P_206.h5,0,0,1,0,1,1,1,0,0,0
H_207.h5,P_207.h5,0,0,0,0,0,0,1,1,1,1
H_208.h5,P_208.h5,0,1,1,1,1,0,0,0,0,0
H_209.h5,P_209.h5,1,0,0,0,1,0,1,0,0,1
H_210.h5,P_210.h5,1,1,0,0,0,0,0,1,0,1
H_211.h5,P_211.h5,0,0,1,0,1,0,1,0,0,1
H_212.h5,P_212.h5,0,0,1,0,0,0,1,0,1,1
H_213.h5,P_213.h5,0,1,1,0,0,0,0,1,0,1
H_214.h5,P_214.h5,0,0,1,0,0,0,1,1,1,0
H_215.h5,P_215.h5,0,0,1,1,0,0,1,0,0,1
H_216.h5,P_216.h5,0,0,0,0,0,0,1,1,1,1
H_217.h5,P_217.h5,0,1,1,0,0,0,1,0,1,0
H_218.h5,P_218.h5,1,0,1,0,0,1,0,1,0,0
H_219.h5,P_219.h5,0,0,0,1,1,1,0,1,0,0
H_220.h5,P_220.h5,1,0,1,0,1,0,1,0,0,0
H_221.h5,P_221.h5,0,0,0,1,0,1,1,1,0,0
H_222.h5,P_222.h5,1,1,1,0,0,0,0,0,1,0
H_223.h5,P_223.h5,0,0,1,0,0,1,0,0,1,1
H_224.h5,P_224.h5,0,0,0,0,1,0,0,0,1,1
H_225.h5,P_225.h5,1,0,0,1,1,0,1,0,0,0
H_226.h5,P_226.h5,0,0,0,1,0,1,1,0,1,0
H_227.h5,P_227.h5,0,0,1,1,0,0,1,0,0,0
H_228.h5,P_228.h5,0,1,1,0,0,0,1,1,0,0
H_229.h5,P_229.h5,0,0,1,0,0,1,0,1,0,0
H_230.h5,P_230.h5,0,0,1,1,1,0,1,0,0,0
H_231.h5,P_231.h5,1,0,0,0,0,1,0,1,0,1
H_232.h5,P_232.h5,1,1,0,1,0,0,0,1,0,0
H_233.h5,P_233.h5,0,1,1,0,0,0,1,0,1,0
H_234.h5,P_234.h5,1,0,1,0,1,1,0,0,0,0
H_235.h5,P_235.h5,1,1,0,0,0,0,1,0,0,1
H_236.h5,P_236.h5,0,1,0,1,0,0,0,1,0,1
H_237.h5,P_237.h5,0,0,0,0,1,1,0,1,1,0
H_238.h5,P_238.h5,0,1,1,1,0,0,0,0,0,1
H_239.h5,P_239.h5,0,1,0,1,1,0,0,0,0,1
H_240.h5,P_240.h5,0,1,1,0,0,1,0,0,1,0
H_241.h5,P_241.h5,0,1,0,0,1,0,0,1,1,0
H_242.h5,P_242.h5,1,1,0,0,1,0,0,0,1,0
H_243.h5,P_243.h5,1,0,0,0,0,0,1,1,1,0
H_244.h5,P_244.h5,1,0,0,0,0,0,1,1,1,0
H_245.h5,P_245.h5,0,1,0,1,0,0,0,1,1,0
H_246.h5,P_246.h5,0,0,1,0,1,0,0,1,0,1
H_247.h5,P_247.h5,1,1,0,0,0,1,0,1,0,0
H_248.h5,P_248.h5,0,1,1,1,0,0,0,0,1,0
H_249.h5,P_249.h5,1,0,0,0,0,1,0,1,0,0
H_250.h5,P_250.h5,0,1,1,1,0,0,0,0,0,0
H_251.h5,P_251.h5,1,0,1,1,0,0,0,1,0,0
H_252.h5,P_252.h5,0,1,0,0,0,1,1,1,0,0
H_253.h5,P_253.h5,0,0,1,0,0,1,0,1,1,0
H_254.h5,P_254.h5,1,0,0,1,0,0,0,1,0,1
H_255.h5,P_255.h5,1,0,0,0,1,0,0,0,1,1
H_256.h5,P_256.h5,1,0,0,0,0,0,1,0,1,0
H_257.h5,P_257.h5,0,1,0,0,1,0,0,0,0,0
H_258.h5,P_258.h5,0,0,1,1,0,0,1,0,0,1
H_259.h5,P_259.h5,0,0,1,0,0,1,0,1,0,1
H_260.h5,P_260.h5,0,1,0,0,0,1,1,1,0,0
H_261.h5,P_261.h5,1,0,0,1,0,0,0,0,1,1
H_262.h5,P_262.h5,0,0,1,0,1,0,1,0,0,1
H_263.h5,P_263.h5,0,1,0,1,1,1,0,0,0,0
H_264.h5,P_264.h5,0,1,0,0,0,0,1,1,0,0
H_265.h5,P_265.h5,0,0,0,1,0,1,0,1,0,1
H_266.h5,P_266.h5,1,0,0,1,0,0,0,0,1,1
H_267.h5,P_267.h5,0,0,0,0,1,0,1,0,0,1
H_268.h5,P_268.h5,0,0,0,1,0,1,0,0,0,1
H_269.h5,P_269.h5,1,0,0,1,0,0,0,0,0,1
H_270.h5,P_270.h5,0,0,0,0,1,0,1,1,1,0
H_271.h5,P_271.h5,1,0,0,0,1,0,0,0,0,1
H_272.h5,P_272.h5,0,0,1,1,0,0,0,0,0,1
H_273.h5,P_273.h5,1,1,0,0,0,0,0,1,0,0
H_274.h5,P_274.h5,0,1,0,0,1,0,0,0,1,1
H_275.h5,P_275.h5,0,0,0,0,1,1,0,0,0,1
H_276.h5,P_276.h5,1,0,0,0,1,1,1,0,0,0
H_277.h5,P_277.h5,1,0,1,0,0,0,1,0,0,1
H_278.h5,P_278.h5,1,0,1,0,1,0,1,0,0,0
H_279.h5,P_279.h5,0,1,0,1,0,0,0,0,1,0
H_280.h5,P_280.h5,0,1,1,0,0,1,1,0,0,0
H_281.h5,P_281.h5,1,1,0,0,1,1,0,0,0,0
H_282.h5,P_282.h5,0,0,0,1,0,1,1,0,0,0
H_283.h5,P_283.h5,0,0,1,1,0,0,0,1,0,1
H_284.h5,P_284.h5,1,0,0,0,0,1,0,1,1,0
H_285.h5,P_285.h5,0,0,1,0,0,1,1,0,1,0
H_286.h5,P_286.h5,1,0,1,0,0,0,1,1,0,0
H_287.h5,P_287.h5,1,0,1,0,0,0,1,0,0,0
H_288.h5,P_288.h5,0,0,1,1,0,1,0,0,0,1
H_289.h5,P_289.h5,1,0,0,0,1,0,0,1,0,1
H_290.h5,P_290.h5,0,1,0,0,1,0,0,1,0,1
H_291.h5,P_291.h5,1,0,0,1,1,0,0,0,1,0
H_292.h5,P_292.h5,1,1,1,0,1,0,0,0,0,0
H_293.h5,P_293.h5,1,0,1,1,0,0,0,1,0,0
H_294.h5,P_294.h5,1,0,1,1,0,0,1,0,0,0
H_295.h5,P_295.h5,1,1,0,0,0,1,0,0,0,1
H_296.h5,P_296.h5,0,1,0,1,0,1,1,0,0,0
H_297.h5,P_297.h5,0,1,1,1,1,0,0,0,0,0
H_298.h5,P_298.h5,1,1,0,1,0,0,0,0,0,1
H_299.h5,P_299.h5,1,1,0,0,0,1,1,0,0,0
H_300.h5,P_300.h5,0,0,1,1,0,0,0,1,1,0
H_301.h5,P_301.h5,1,0,1,0,0,0,1,0,0,1
H_302.h5,P_302.h5,1,1,0,0,1,0,0,0,0,1
H_303.h5,P_303.h5,1,0,1,0,0,1,0,0,0,1
H_304.h5,P_304.h5,1,0,0,0,0,1,1,0,0,1
H_305.h5,P_305.h5,1,0,1,0,0,1,0,0,1,0
H_306.h5,P_306.h5,0,1,0,0,1,0,1,0,0,1
H_307.h5,P_307.h5,1,0,1,0,0,0,0,0,1,1
H_308.h5,P_308.h5,0,0,0,0,1,1,0,1,0,1
H_309.h5,P_309.h5,1,0,0,0,0,1,1,0,0,1
H_310.h5,P_310.h5,0,1,0,0,0,0,1,0,1,0
H_311.h5,P_311.h5,0,0,0,0,1,1,1,0,0,1
H_312.h5,P_312.h5,0,1,1,0,0,1,0,0,0,1
H_313.h5,P_313.h5,1,1,0,0,0,0,1,0,1,0
H_314.h5,P_314.h5,1,0,0,0,1,1,1,0,0,0
H_315.h5,P_315.h5,1,0,0,0,1,0,0,1,1,0
H_316.h5,P_316.h5,0,1,0,1,0,0,0,0,1,1
H_317.h5,P_317.h5,1,0,0,0,1,0,0,0,1,1
H_318.h5,P_318.h5,0,0,1,1,0,0,1,0,0,1
H_319.h5,P_319.h5,0,0,1,1,1,0,0,0,0,0
H_320.h5,P_320.h5,1,1,0,0,0,0,0,1,0,0
H_321.h5,P_321.h5,1,1,0,0,0,0,1,0,0,0
H_322.h5,P_322.h5,1,0,0,0,0,0,1,1,0,1
H_323.h5,P_323.h5,1,1,0,0,1,0,0,0,0,1
H_324.h5,P_324.h5,1,0,0,0,1,1,0,0,0,1
H_325.h5,P_325.h5,0,0,0,1,0,1,0,1,1,0
H_326.h5,P_326.h5,1,1,0,1,0,1,0,0,0,0
H_327.h5,P_327.h5,1,1,0,0,0,0,1,1,0,0
H_328.h5,P_328.h5,1,0,0,0,1,1,0,1,0,0
H_329.h5,P_329.h5,1,0,0,1,0,0,0,1,0,1
H_330.h5,P_330.h5,1,0,1,1,0,0,0,1,0,0
H_331.h5,P_331.h5,1,0,0,0,0,1,1,0,1,0
H_332.h5,P_332.h5,1,1,0,0,0,0,1,0,1,0
H_333.h5,P_333.h5,0,0,0,1,0,0,0,1,0,0
H_334.h5,P_334.h5,0,0,0,0,1,0,0,1,1,1
H_335.h5,P_335.h5,0,0,1,0,0,0,0,1,1,0
H_336.h5,P_336.h5,0,1,0,1,1,0,0,1,0,0
H_337.h5,P_337.h5,1,1,1,0,0,0,0,1,0,0
H_338.h5,P_338.h5,0,0,1,0,0,1,0,1,1,0
H_339.h5,P_339.h5,1,1,1,0,0,0,0,1,0,0
H_340.h5,P_340.h5,1,0,1,0,1,0,0,0,1,0
H_341.h5,P_341.h5,0,1,0,0,0,0,0,1,1,1
H_342.h5,P_342.h5,0,1,0,0,0,1,0,1,0,0
H_343.h5,P_343.h5,1,0,0,0,0,1,1,1,0,0
H_344.h5,P_344.h5,1,1,1,0,0,0,0,0,1,0
H_345.h5,P_345.h5,1,0,0,0,1,0,1,0,1,0
H_346.h5,P_346.h5,1,1,0,0,1,1,0,0,0,0
H_347.h5,P_347.h5,0,0,1,0,0,1,1,1,0,0
H_348.h5,P_348.h5,0,1,0,1,0,0,0,1,1,0
H_349.h5,P_349.h5,0,0,0,0,1,0,1,0,1,1
H_350.h5,P_350.h5,0,0,0,0,1,0,1,1,1,0
H_351.h5,P_351.h5,1,1,1,0,0,0,0,0,1,0
H_352.h5,P_352.h5,1,0,1,0,1,0,1,0,0,0
H_353.h5,P_353.h5,0,1,1,0,0,0,1,0,1,0
H_354.h5,P_354.h5,0,0,1,0,0,1,1,1,0,0
H_355.h5,P_355.h5,0,0,0,0,0,1,0,0,1,1
H_356.h5,P_356.h5,1,0,1,1,0,0,0,0,1,0
H_357.h5,P_357.h5,1,0,0,1,0,0,0,0,0,1
H_358.h5,P_358.h5,0,1,0,0,1,0,0,0,0,1
H_359.h5,P_359.h5,0,0,0,1,0,0,1,0,0,1
H_360.h5,P_360.h5,0,0,1,0,0,1,1,0,1,0
H_361.h5,P_361.h5,0,1,0,0,1,0,1,0,1,0
H_362.h5,P_362.h5,0,1,0,0,1,0,1,0,0,1
H_363.h5,P_363.h5,0,0,0,1,0,0,0,1,1,0
H_364.h5,P_364.h5,0,0,1,0,0,0,1,0,1,0
H_365.h5,P_365.h5,1,0,1,0,0,1,0,0,0,1
H_366.h5,P_366.h5,1,1,0,0,0,1,0,0,0,1
H_367.h5,P_367.h5,1,0,0,0,1,0,0,0,0,1
H_368.h5,P_368.h5,1,0,0,0,0,1,0,0,1,0
H_369.h5,P_369.h5,0,1,0,0,0,1,0,0,1,1
H_370.h5,P_370.h5,0,0,0,1,0,0,1,0,1,0
H_371.h5,P_371.h5,1,0,1,0,0,0,1,0,1,0
H_372.h5,P_372.h5,0,1,1,0,0,1,0,0,0,1
H_373.h5,P_373.h5,1,1,0,1,0,1,0,0,0,0
H_374.h5,P_374.h5,0,0,0,1,1,1,0,0,1,0
H_375.h5,P_375.h5,1,1,1,0,0,0,1,0,0,0
H_376.h5,P_376.h5,0,1,0,0,1,0,0,0,1,1
H_377.h5,P_377.h5,0,0,1,0,1,0,0,1,0,0
H_378.h5,P_378.h5,0,0,0,0,1,1,0,1,1,0
H_379.h5,P_379.h5,1,0,0,0,1,0,0,0,1,1
H_380.h5,P_380.h5,0,1,1,0,1,1,0,0,0,0
H_381.h5,P_381.h5,1,0,1,0,1,0,0,0,0,1
H_382.h5,P_382.h5,0,1,1,0,0,0,0,0,1,1
H_383.h5,P_383.h5,1,0,0,1,1,1,0,0,0,0
H_384.h5,P_384.h5,0,0,1,0,0,1,0,0,1,1
H_385.h5,P_385.h5,1,0,1,0,0,0,0,1,1,0
H_386.h5,P_386.h5,0,0,1,1,1,1,0,0,0,0
H_387.h5,P_387.h5,0,1,0,1,0,1,0,1,0,0
H_388.h5,P_388.h5,0,0,1,0,1,0,0,1,0,0
H_389.h5,P_389.h5,0,1,1,0,0,0,0,1,1,0
H_390.h5,P_390.h5,1,0,1,0,0,0,0,0,0,1
H_391.h5,P_391.h5,1,0,0,1,1,0,0,0,1,0
H_392.h5,P_392.h5,0,0,1,0,0,1,1,0,0,1
H_393.h5,P_393.h5,1,0,0,1,0,0,0,0,1,0
H_394.h5,P_394.h5,0,1,1,1,1,0,0,0,0,0
H_395.h5,P_395.h5,0,1,1,0,0,0,1,0,0,1
H_396.h5,P_396.h5,1,0,0,0,0,1,1,0,0,1
H_397.h5,P_397.h5,0,0,0,1,0,0,1,0,0,1
H_398.h5,P_398.h5,1,1,0,0,0,0,0,1,0,1
H_399.h5,P_399.h5,1,1,1,0,0,0,0,0,0,1
H_400.h5,P_400.h5,1,0,0,1,1,0,0,0,1,0
H_401.h5,P_401.h5,0,1,0,1,0,0,0,1,0,1
H_402.h5,P_402.h5,0,0,1,0,0,0,1,1,0,1
H_403.h5,P_403.h5,0,0,1,1,1,0,0,0,1,0
H_404.h5,P_404.h5,0,1,0,0,1,1,0,1,0,0
H_405.h5,P_405.h5,0,0,1,0,1,1,0,0,0,1
H_406.h5,P_406.h5,0,0,1,1,0,0,0,1,0,0
H_407.h5,P_407.h5,1,0,0,1,0,0,0,0,1,1
H_408.h5,P_408.h5,1,1,0,0,1,0,1,0,0,0
H_409.h5,P_409.h5,0,1,0,1,0,1,0,0,1,0
